t,x1,x2,u
0,10,0,0
0.002004,0,-3.1699,-3.1699
0.004008,3.1699,-2.1233,-2.4403
0.006012,2.1233,-2.4269,-2.6392
0.008016,2.4269,-2.2809,-2.5236
0.01002,2.2809,-2.2908,-2.5189
0.012024,2.2908,-2.2538,-2.4829
0.014028,2.2538,-2.2166,-2.442
0.016032,2.2166,-2.1225,-2.3442
0.018036,2.1225,-2.0943,-2.3066
0.02004,2.0943,-2.0743,-2.2837
0.022044,2.0743,-2.0109,-2.2183
0.024048,2.0109,-1.9846,-2.1857
0.026052,1.9846,-1.9218,-2.1202
0.028056,1.9218,-1.9093,-2.1014
0.03006,1.9093,-1.8311,-2.022
0.032064,1.8311,-1.8539,-2.037
0.034068,1.8539,-1.8151,-2.0005
0.036072,1.8151,-1.7888,-1.9703
0.038076,1.7888,-1.7868,-1.9657
0.04008,1.7868,-1.7085,-1.8872
0.042084,1.7085,-1.6458,-1.8167
0.044088,1.6458,-1.6187,-1.7833
0.046092,1.6187,-1.5677,-1.7296
0.048096,1.5677,-1.5178,-1.6745
0.0501,1.5178,-1.5199,-1.6717
0.052104,1.5199,-1.4589,-1.6109
0.054108,1.4589,-1.48,-1.6258
0.056112,1.48,-1.4009,-1.5489
0.058116,1.4009,-1.3851,-1.5252
0.06012,1.3851,-1.3717,-1.5102
0.062124,1.3717,-1.43,-1.5672
0.064128,1.43,-1.3,-1.4431
0.066132,1.3,-1.3198,-1.4498
0.068136,1.3198,-1.2582,-1.3902
0.07014,1.2582,-1.2299,-1.3557
0.072144,1.2299,-1.2041,-1.3271
0.074148,1.2041,-1.1187,-1.2392
0.076152,1.1187,-1.1735,-1.2854
0.078156,1.1735,-1.152,-1.2694
0.08016,1.152,-1.1532,-1.2684
0.082164,1.1532,-1.1888,-1.3041
0.084168,1.1888,-1.1633,-1.2822
0.086172,1.1633,-1.1293,-1.2456
0.088176,1.1293,-1.1676,-1.2805
0.09018,1.1676,-1.152,-1.2687
0.092184,1.152,-1.1354,-1.2506
0.094188,1.1354,-1.1241,-1.2377
0.096192,1.1241,-1.077,-1.1894
0.098196,1.077,-1.0905,-1.1982
0.1002,1.0905,-1.0709,-1.1799
0.1022,1.0709,-1.0855,-1.1926
0.10421,1.0855,-1.0084,-1.117
0.10621,1.0084,-1.0278,-1.1286
0.10822,1.0278,-0.96917,-1.0719
0.11022,0.96917,-0.96413,-1.061
0.11222,0.96413,-0.97656,-1.073
0.11423,0.97656,-0.95415,-1.0518
0.11623,0.95415,-0.89676,-0.99218
